code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
LMT,2024-09-27,2024-10-02,555.2435542602802,580.3133217427446,11223,rsi_half,274985.82304600684,4.515093834067718,2,LMT:2024-09-27,0.1
GS,2024-09-27,2024-10-03,484.516740557674,474.7880720254763,25747,replaced,-250484.0286984935,-2.00791174335897,3,GS:2024-09-27,0.1
KO,2024-10-02,2024-10-04,68.42049112750715,66.91599794090679,182093,stop_sma20_break,-286279.5914795861,-2.1988927027673744,1,KO:2024-10-02,0.1
DHR,2024-09-25,2024-10-07,273.5491001306415,265.6794712755675,45359,stop_sma20_break,-369187.92962250795,-2.8768615401460362,7,DHR:2024-09-25,0.1
LIN,2024-09-26,2024-10-08,470.09896227092645,455.94686442173656,26500,po_break,-387300.70020720974,-3.010450774199702,7,LIN:2024-09-26,0.1
DE,2024-09-13,2024-10-09,381.17814574980264,393.0262485746535,32801,stop_sma20_break,375932.2815888146,3.108284920570359,17,DE:2024-09-13,0.1
ADI,2024-09-25,2024-10-09,219.06829260117055,224.7768258179039,56420,po_break,309554.5732974931,2.60582357626995,9,ADI:2024-09-25,0.1
TXN,2024-10-03,2024-10-09,191.4477563951501,191.5118293930862,64467,po_break,-8213.533850558018,0.03346761494757988,3,TXN:2024-10-03,0.1
SBUX,2024-10-07,2024-10-11,92.08235984420278,89.93983807364982,133442,po_break,-298047.09317340516,-2.326745072756564,3,SBUX:2024-10-07,0.1
AXP,2024-10-08,2024-10-11,267.1874139254219,266.7813539633584,46086,replaced,-18713.679411656904,-0.15197570727519816,2,AXP:2024-10-08,0.1
ACN,2024-10-09,2024-10-11,351.8268596437209,354.0571610275224,35048,replaced,78167.60289947409,0.6339201577901132,1,ACN:2024-10-09,0.1
GE,2024-10-10,2024-10-14,186.694440090302,190.1142117346261,65827,replaced,225113.30803092258,1.8317479849266016,1,GE:2024-10-10,0.1
NFLX,2024-10-09,2024-10-15,71.99692805480956,71.17974845123291,171048,replaced,-139776.93683257842,-1.1350200982944036,3,NFLX:2024-10-09,0.1
UNH,2024-10-10,2024-10-16,574.7657187903584,536.8302105845505,21384,stop_loss_pct,-823098.0911498722,-6.600168897624281,3,UNH:2024-10-10,0.1
ADI,2024-10-11,2024-10-16,224.17108444826167,223.2646671848842,55032,stop_sma20_break,-62193.59698012698,-0.4043417399743565,2,ADI:2024-10-11,0.1
ABT,2024-10-15,2024-10-17,113.40398162676831,115.07743741055127,108021,replaced,180768.36722001864,1.47565875534299,1,ABT:2024-10-15,0.1
RTX,2024-10-10,2024-10-18,120.44495557247916,122.6544824976628,102089,replaced,225568.39426507248,1.8344702895041864,5,RTX:2024-10-10,0.1
LMT,2024-09-27,2024-10-23,555.2435542602802,553.5298741668777,11224,stop_sma20_break,-25456.781848683528,-0.3086357473677692,17,LMT:2024-09-27,0.1
GE,2024-10-16,2024-10-23,189.02628369748626,177.95356977644124,65136,stop_loss_pct,-733184.0938291274,-5.857764171444835,4,GE:2024-10-16,0.1
LLY,2024-10-17,2024-10-24,910.4927728729101,886.3070369383471,13553,po_break,-339965.29303231847,-2.656334751373024,4,LLY:2024-10-17,0.1
CEG,2024-10-22,2024-10-24,267.93510658358525,264.8481803813899,45592,stop_sma20_break,-152884.46722014365,-1.1521171083388237,1,CEG:2024-10-22,0.1
BMY,2024-10-23,2024-10-28,49.2541106170923,48.36436744575422,246108,stop_sma20_break,-230985.25661121833,-1.8064343466783095,2,BMY:2024-10-23,0.1
AAPL,2024-10-15,2024-10-28,232.10366796304956,231.3524156780459,52778,replaced,-39649.59309792311,-0.32367100942293225,8,AAPL:2024-10-15,0.1
CMCSA,2024-10-23,2024-10-29,36.681238989866934,36.81950126896083,330486,po_break,33548.264746035136,0.3769291411669373,3,CMCSA:2024-10-23,0.1
DIS,2024-10-22,2024-10-29,94.8227249887757,94.69230141244168,128755,replaced,-16792.68757088732,-0.13754464064332783,4,DIS:2024-10-22,0.1
CVX,2024-10-28,2024-10-30,139.03155705240604,139.53060815139753,87172,stop_sma20_break,31361.871868712893,0.35894807594176736,1,CVX:2024-10-28,0.1
MA,2024-10-04,2024-10-31,490.98432578814834,516.0905433967918,25138,po_break,618462.1742152927,5.113445845413067,18,MA:2024-10-04,0.1
COST,2024-10-25,2024-10-31,888.2041928158077,868.1693912377352,13616,stop_sma20_break,-284751.2496472711,-2.2556526686231537,3,COST:2024-10-25,0.1
AAPL,2024-10-28,2024-11-01,231.81558367740132,219.1065406712631,52376,po_break,-677457.5850819381,-5.482393721995993,3,AAPL:2024-10-28,0.1
GILD,2024-10-14,2024-11-07,81.54076732328701,90.0791250194339,76143,rsi_half,643602.3433263866,10.471274647557106,17,GILD:2024-10-14,0.1
CRM,2024-10-31,2024-11-11,289.936166412593,321.6449504055213,20972,rsi_half,658583.5783087367,10.936470736046488,6,CRM:2024-10-31,0.1
GILD,2024-10-14,2024-11-12,81.54076732328701,92.33109204957215,76144,max_holding_days,814998.8365282118,13.233042906629056,20,GILD:2024-10-14,0.1
JPM,2024-11-11,2024-11-13,233.01086680114258,233.10729353367338,54659,replaced,5270.588773401078,0.041382933703726366,1,JPM:2024-11-11,0.1
ABNB,2024-11-12,2024-11-14,135.78564389038084,133.8360312194824,93840,stop_sma20_break,-195602.30203326364,-1.4358017644872323,1,ABNB:2024-11-12,0.1
CRM,2024-10-31,2024-11-14,289.936166412593,338.64438606609207,20973,replaced,1021557.4907928355,16.799635677111404,9,CRM:2024-10-31,0.1
AMZN,2024-10-25,2024-11-18,188.03785610961913,203.94584390258788,64327,trail_sma10,1010705.5630229583,8.459992111213488,15,AMZN:2024-10-25,0.1
META,2024-11-13,2024-11-18,580.3938266561843,553.8123585838905,21953,stop_sma20_break,-595992.5827833529,-4.579901930631703,2,META:2024-11-13,0.1
ABT,2024-11-13,2024-11-19,112.75318571627959,112.97383739779693,113061,po_break,12186.638283881528,0.19569440997664334,3,ABT:2024-11-13,0.1
CMCSA,2024-10-30,2024-11-20,36.93737963899237,37.6833574417245,330333,stop_sma20_break,234096.2395388721,2.019574236242394,14,CMCSA:2024-10-30,0.1
GOOG,2024-10-29,2024-11-21,168.58668348839106,174.27916519060398,71891,po_break,396913.7176900979,3.376590359584908,16,GOOG:2024-10-29,0.1
MA,2024-11-18,2024-11-22,514.4847743060391,511.81326801783234,24444,po_break,-77845.71438220763,-0.5192585712201492,3,MA:2024-11-18,0.1
NOW,2024-11-20,2024-11-25,205.8056061096191,212.70707817077636,60782,replaced,419485.27482125995,3.353393618190026,2,NOW:2024-11-20,0.1
PYPL,2024-11-21,2024-11-26,84.79182995123124,86.84827875794063,149185,replaced,306791.3152289415,2.425291219557568,2,PYPL:2024-11-21,0.1
T,2024-10-30,2024-11-29,20.73958439667683,21.76438766122581,588990,max_holding_days,591081.6675355129,4.941291228155897,20,T:2024-10-30,0.1
XOM,2024-11-15,2024-11-29,114.70543203203668,111.66188126980484,109149,stop_sma20_break,-344554.40508663503,-2.6533623633288705,8,XOM:2024-11-15,0.1
ACN,2024-11-27,2024-12-04,356.29260699105464,345.413772313264,36052,stop_sma20_break,-404852.7069970471,-3.0533428042933686,3,ACN:2024-11-27,0.1
SBUX,2024-11-27,2024-12-05,97.04418935245899,97.09062038439139,132261,replaced,6141.01471441115,0.04784524683261182,4,SBUX:2024-11-27,0.1
ABT,2024-11-22,2024-12-06,113.86052091986208,111.60697278069833,112436,stop_sma20_break,-266055.27013587405,-1.979218188146059,8,ABT:2024-11-22,0.1
UNH,2024-12-03,2024-12-06,589.8983281853048,561.0209669817402,21704,stop_loss_pct,-639244.0237533174,-4.895311585709949,2,UNH:2024-12-03,0.1
HD,2024-11-18,2024-12-09,391.3410013848678,418.6126511529187,32155,replaced,876919.8982916769,6.968768841379425,13,HD:2024-11-18,0.1
AAPL,2024-11-25,2024-12-10,230.2205855096247,245.0773111409522,27886,rsi_half,407667.57238219946,6.453256818212028,9,AAPL:2024-11-25,0.1
PANW,2024-12-04,2024-12-10,198.4282257232666,195.5642345123291,64807,stop_sma20_break,-198373.4130924697,-1.4433386180309316,3,PANW:2024-12-04,0.1
HON,2024-12-05,2024-12-10,210.10731876615847,205.31960338434897,60945,stop_sma20_break,-304446.41082961165,-2.27869995672928,2,HON:2024-12-05,0.1
CAT,2024-12-05,2024-12-11,393.26599477589883,382.66081955413244,32620,po_break,-358596.1820757424,-2.6966926616194486,3,CAT:2024-12-05,0.1
CDNS,2024-12-09,2024-12-11,310.30999999999995,307.2124690246582,41135,stop_sma20_break,-140117.83005234657,-0.9982053350977127,1,CDNS:2024-12-09,0.1
MA,2024-12-06,2024-12-12,518.7904930654709,530.9815951691616,24697,po_break,288120.5380232837,2.3499085404697695,3,MA:2024-12-06,0.1
HD,2024-12-10,2024-12-12,414.1633064953083,408.039645669841,30705,replaced,-188027.0056459738,-1.4785618932025457,1,HD:2024-12-10,0.1
LOW,2024-12-09,2024-12-13,266.4071924880559,255.32724221851885,47903,po_break,-543259.1800745078,-4.159028202676551,3,LOW:2024-12-09,0.1
T,2024-12-11,2024-12-17,21.957907331499992,21.324795616962778,579602,stop_sma20_break,-379496.1865663662,-2.883297142023078,3,T:2024-12-11,0.1
CMG,2024-11-19,2024-12-18,58.468409847259515,64.03589847564697,214734,trail_sma10,1182376.183056447,9.522216600266265,19,CMG:2024-11-19,0.1
BKNG,2024-12-11,2024-12-18,208.31632657178454,204.00750967513252,61043,po_break,-275607.85179033945,-2.0684009590420827,4,BKNG:2024-12-11,0.1
ISRG,2024-12-12,2024-12-18,543.6430755615233,542.5768751220703,23338,po_break,-37558.086460481936,-0.19612140527160982,3,ISRG:2024-12-12,0.1
ACN,2024-12-11,2024-12-19,356.0675240577094,356.4792747544699,35718,stop_sma20_break,1981.5381069035448,0.11563837444881209,5,ACN:2024-12-11,0.1
AXP,2024-12-17,2024-12-19,297.80187483899647,288.0546251773115,42224,stop_sma20_break,-423936.4721433307,-3.2730652441173236,1,AXP:2024-12-17,0.1
INTU,2024-12-17,2024-12-20,662.9938776896099,621.3765331113386,18977,stop_loss_pct,-801959.096704739,-6.277183844185519,2,INTU:2024-12-17,0.1
PANW,2024-12-18,2024-12-20,201.20099999999996,186.39342182922363,61586,stop_loss_pct,-923874.7042568189,-7.359594719099971,1,PANW:2024-12-18,0.1
MA,2024-12-18,2024-12-24,526.1219160769399,524.0312188612015,23612,po_break,-61763.65056909417,-0.39737884924615496,3,MA:2024-12-18,0.1
AAPL,2024-11-25,2024-12-26,230.2205855096247,256.29434202492877,27886,max_holding_days,720309.2965511549,11.325553906305231,20,AAPL:2024-11-25,0.1
MA,2024-12-27,2025-01-03,529.3858659525889,517.3578718656097,23404,stop_sma20_break,-293752.16883161024,-2.272065587798755,3,MA:2024-12-27,0.1
V,2024-12-16,2025-01-08,311.54316618595664,307.2261382184627,40342,po_break,-186638.737903781,-1.3856917551249182,14,V:2024-12-16,0.1
GILD,2024-12-17,2025-01-08,88.96534854183521,87.62798681793929,141267,po_break,-201398.48400274015,-1.5032388967340937,13,GILD:2024-12-17,0.1
AXP,2025-01-16,2025-01-23,308.74075651981855,318.8150984124049,39681,replaced,399759.9606397188,3.2630424327990015,3,AXP:2025-01-16,0.1
BAC,2025-01-17,2025-01-23,45.34413476667209,44.70982785112758,270969,replaced,-171877.5105981813,-1.3988731261682985,2,BAC:2025-01-17,0.1
CSCO,2025-01-16,2025-01-24,58.49427212461347,60.20108956154756,104736,rsi_half,172549.3923739485,2.917922345110946,4,CSCO:2025-01-16,0.1
CRWD,2025-01-22,2025-01-24,369.1287697753906,377.9216878051758,33833,replaced,297490.7957017226,2.3820733439811725,1,CRWD:2025-01-22,0.1
CSCO,2025-01-16,2025-01-28,58.49427212461347,57.252146436239855,104736,stop_sma20_break,-136156.6845446934,-2.1234996919483717,6,CSCO:2025-01-16,0.1
ANET,2025-01-16,2025-01-28,117.43731969451903,104.91497664642334,104244,stop_loss_pct,-1316968.57509557,-10.663001404212169,6,ANET:2025-01-16,0.1
GOOGL,2025-01-22,2025-01-28,198.3421092218659,191.6711290814037,63006,stop_sma20_break,-432598.36177622963,-3.3633705755342302,3,GOOGL:2025-01-22,0.1
AMZN,2025-01-27,2025-01-29,226.43621672058103,238.7809842681885,54141,replaced,668358.0597950155,5.451763735675175,1,AMZN:2025-01-27,0.1
GOOGL,2025-01-27,2025-01-30,191.71609193821942,196.89175609652713,63979,replaced,331133.8171843691,2.6996503558895713,2,GOOGL:2025-01-27,0.1
IBM,2025-01-29,2025-01-31,217.3097986487705,246.12621800340003,28557,rsi_half,816293.316346387,13.260524621443516,1,IBM:2025-01-29,0.1
PYPL,2025-01-28,2025-02-03,89.37194140117552,85.95395397990411,138951,po_break,-487113.62441763125,-3.8244524709703187,3,PYPL:2025-01-28,0.1
META,2025-01-16,2025-02-04,609.6653859490237,698.9930348415841,10050,rsi_half,891166.8628057584,14.651914140329648,11,META:2025-01-16,0.1
WMT,2025-01-23,2025-02-05,91.8067122038744,99.2027099945394,68411,rsi_half,499434.0320661759,8.05605343347966,8,WMT:2025-01-23,0.1
PFE,2025-01-31,2025-02-05,24.752058391152513,23.77717298216245,512644,stop_sma20_break,-512208.2652503721,-3.93860338232932,2,PFE:2025-01-31,0.1
GOOG,2025-01-22,2025-02-06,199.83126835737875,189.9253056857134,62501,stop_sma20_break,-631312.6607588896,-4.957163487522632,10,GOOG:2025-01-22,0.1
GOOGL,2025-02-04,2025-02-06,202.65647553100348,188.43930701259995,62979,stop_loss_pct,-907698.4667649424,-7.015403026797684,1,GOOGL:2025-02-04,0.1
GS,2025-02-05,2025-02-07,622.5887904414285,642.186145440212,20132,replaced,394533.95083551033,3.147720501824103,1,GS:2025-02-05,0.1
IBM,2025-01-29,2025-02-11,217.3097986487705,242.97610359317522,28557,trail_sma10,726380.4780422038,11.810928501152485,8,IBM:2025-01-29,0.1
UAL,2025-02-05,2025-02-12,108.49838938903807,103.60628908538818,115615,stop_sma20_break,-577861.4178073916,-4.508915138001257,4,UAL:2025-02-05,0.1
BAC,2025-01-27,2025-02-13,45.28575763638809,45.166145341870404,270496,stop_sma20_break,-44588.08619185969,-0.26412784230770425,12,BAC:2025-01-27,0.1
CSCO,2025-02-10,2025-02-13,61.351916269562096,64.1200751550627,203951,replaced,564568.7728567322,4.511935492508701,2,CSCO:2025-02-10,0.1
TJX,2025-02-06,2025-02-13,123.76596936817991,122.47553909620682,101809,replaced,-131377.4155593087,-1.042637389389578,4,TJX:2025-02-06,0.1
META,2025-01-16,2025-02-18,609.6653859490237,732.325764525638,10051,max_holding_days,1226115.288546839,20.119295174627204,20,META:2025-01-16,0.1
BAC,2025-02-12,2025-02-19,45.3052134545771,44.5447799636338,275406,po_break,-221800.55965039818,-1.6784679575689632,3,BAC:2025-02-12,0.1
HD,2025-02-12,2025-02-19,396.3898747789038,384.5988773915369,31443,stop_sma20_break,-383022.64551822416,-2.9745960070104216,3,HD:2025-02-12,0.1
MS,2025-02-12,2025-02-19,131.9470848198872,135.48647358480085,95064,po_break,323756.80164965853,2.6824304377357278,3,MS:2025-02-12,0.1
SNOW,2025-02-18,2025-02-20,193.7936061096191,185.814,65176,replaced,-520078.8078005353,-4.1175796610675945,1,SNOW:2025-02-18,0.1
WMT,2025-01-23,2025-02-21,91.8067122038744,95.14196089170382,68412,stop_sma20_break,221776.26691987892,3.632902875797206,19,WMT:2025-01-23,0.1
C,2025-02-11,2025-02-24,78.13021884680465,77.74151863092952,159451,stop_sma20_break,-74405.59032778692,-0.49750304250048005,7,C:2025-02-11,0.1
CEG,2025-02-18,2025-02-24,321.42699916721995,287.2740085778334,39274,stop_loss_pct,-1353277.6140966567,-10.625426824091623,3,CEG:2025-02-18,0.1
QCOM,2025-02-19,2025-02-24,169.26397245235358,161.08094810093328,74414,stop_loss_pct,-621222.7175456163,-4.834474952266499,2,QCOM:2025-02-19,0.1
KLAC,2025-02-14,2025-02-25,753.5021884710922,730.0187863575235,16846,stop_sma20_break,-408097.0891761593,-3.1165672074845774,5,KLAC:2025-02-14,0.1
ISRG,2025-02-18,2025-02-26,596.0554819946288,570.2791256103516,21157,stop_sma20_break,-557688.4426687036,-4.324489441489532,5,ISRG:2025-02-18,0.1
AMGN,2025-02-21,2025-02-26,288.24146860626854,299.89395233486505,21003,rsi_half,238560.81162869913,4.042611836853194,2,AMGN:2025-02-21,0.1
MCD,2025-02-21,2025-02-27,295.6382696959376,296.2804465046145,41018,po_break,14201.147387751114,0.2172170772536841,3,MCD:2025-02-21,0.1
SLB,2025-02-21,2025-02-27,41.08638595857964,39.60840708159433,295222,stop_sma20_break,-448243.3191168107,-3.597247220710298,3,SLB:2025-02-21,0.1
LIN,2025-02-20,2025-03-12,452.5260150207446,445.3441182175211,27429,stop_sma20_break,-209306.08735791303,-1.587068271178671,13,LIN:2025-02-20,0.1
AMGN,2025-02-21,2025-03-13,288.24146860626854,301.5378652497958,21003,trail_sma10,273070.65102951357,4.612936753278141,13,AMGN:2025-02-21,0.1
BMY,2025-03-25,2025-03-27,57.729576482977016,55.70348104946881,208081,stop_sma20_break,-433393.5959220249,-3.5096315562017755,1,BMY:2025-03-25,0.1
MMM,2025-03-25,2025-03-28,150.50953212781897,145.03933570849367,79320,stop_sma20_break,-445617.44807927136,-3.6344518131116055,2,MMM:2025-03-25,0.1
PSX,2025-03-25,2025-03-31,122.5663173208542,116.8288107037456,98159,po_break,-574937.3052146457,-4.681144659090098,3,PSX:2025-03-25,0.1
RTX,2025-03-25,2025-04-03,132.6751204951862,128.6965117289276,90062,po_break,-370091.2886774676,-2.998760243374321,6,RTX:2025-03-25,0.1
SLB,2025-03-25,2025-04-04,40.79499660448625,36.26408249407442,292697,stop_loss_pct,-1337462.4480126668,-11.106543663527502,7,SLB:2025-03-25,0.1
CI,2025-03-25,2025-04-08,315.1138438884681,317.7615261524265,37959,stop_sma20_break,88491.71297190418,0.8402303850844062,9,CI:2025-03-25,0.1
HCA,2025-03-26,2025-04-08,335.08381747658564,337.2920495442339,35725,stop_sma20_break,66878.7766920755,0.6590088665808569,8,HCA:2025-03-26,0.1
CI,2025-04-25,2025-04-30,330.11180735771916,333.6198002447589,35353,replaced,124018.07253551572,1.0626681048213404,2,CI:2025-04-25,0.1
MO,2025-04-25,2025-04-30,54.94346271084207,55.1790222507315,212661,replaced,50094.32731242596,0.4287307866436052,2,MO:2025-04-25,0.1
VRTX,2025-04-25,2025-05-07,493.03254855346677,447.0724690246582,23694,stop_loss_pct,-1100115.5484988387,-9.321915898585843,7,VRTX:2025-04-25,0.1
MCD,2025-04-25,2025-05-07,309.65302688926874,309.01484859753367,37734,po_break,-35753.42646714076,-0.20609464023204627,7,MCD:2025-04-25,0.1
AEP,2025-04-29,2025-05-09,103.09369546562506,101.12318544712463,114224,stop_sma20_break,-236742.77085588253,-1.9113778098656553,7,AEP:2025-04-29,0.1
MDLZ,2025-05-06,2025-05-12,65.63211931531865,64.00243181675458,178966,stop_sma20_break,-303258.7414069681,-2.483063956436482,3,MDLZ:2025-05-06,0.1
DUK,2025-04-29,2025-05-13,115.2960853477929,110.94291559407964,101787,stop_sma20_break,-454610.18431564677,-3.7756440217218468,9,DUK:2025-04-29,0.1
T,2025-04-29,2025-05-13,25.992675847383353,25.892877601925022,452106,stop_sma20_break,-56848.27057506062,-0.38394756293772536,9,T:2025-04-29,0.1
CRWD,2025-05-09,2025-05-13,419.3639523315429,427.781781463623,27764,replaced,233712.60802307192,2.0072848620582118,1,CRWD:2025-05-09,0.1
CME,2025-04-25,2025-05-14,253.57651787143715,258.59274113858436,46004,stop_sma20_break,218985.41788609177,1.9781891908817961,12,CME:2025-04-25,0.1
MCD,2025-05-12,2025-05-14,305.2601651927211,300.96916820315255,37805,stop_sma20_break,-173680.39116515472,-1.4056852085038707,1,MCD:2025-05-12,0.1
VZ,2025-05-12,2025-05-14,40.37248365699246,40.03912002450286,285807,stop_sma20_break,-106768.75931765384,-0.8257199020052397,1,VZ:2025-05-12,0.1
KR,2025-05-12,2025-05-14,69.14637457593054,65.78472763176022,166829,stop_sma20_break,-572075.4084740933,-4.861638755158227,1,KR:2025-05-12,0.1
CB,2025-05-08,2025-05-15,287.7588483117359,280.2646614812195,40409,stop_sma20_break,-314309.22663794947,-2.6043288936150377,4,CB:2025-05-08,0.1
COST,2025-05-13,2025-05-19,1009.0535628948197,1011.8852680516464,11290,po_break,20561.75151988097,0.2806298159934162,3,COST:2025-05-13,0.1
BKNG,2025-05-16,2025-05-20,209.29222109808327,211.4849947159842,54614,replaced,119756.13836804038,1.0477090865566696,1,BKNG:2025-05-16,0.1
HON,2025-05-15,2025-05-21,199.97896769307417,206.80046251024828,57007,replaced,388872.95504264464,3.411106125742025,3,HON:2025-05-15,0.1
SHW,2025-05-16,2025-05-21,358.468427285641,353.15777757532123,31857,replaced,-169181.3678216563,-1.481483250988802,2,SHW:2025-05-16,0.1
DASH,2025-05-16,2025-05-21,198.19299011230467,202.2875154876709,57482,replaced,235361.5076268017,2.0659284533959044,2,DASH:2025-05-16,0.1
CMG,2025-05-19,2025-05-22,51.8618113746643,50.679269542694094,222421,replaced,-263022.13680864504,-2.280178421511714,2,CMG:2025-05-19,0.1
TTWO,2025-05-16,2025-05-22,236.8165818328857,227.80196878051757,48364,replaced,-435982.7456647324,-3.806580173819696,3,TTWO:2025-05-16,0.1
WMT,2025-05-21,2025-05-23,96.42097261807376,94.45494068349403,117244,stop_sma20_break,-241694.9759274306,-2.039008611090498,1,WMT:2025-05-21,0.1
PGR,2025-05-21,2025-05-23,266.8052202195745,260.6153544991427,42316,stop_sma20_break,-273089.52234568994,-2.3199942322484013,1,PGR:2025-05-21,0.1
TJX,2025-05-06,2025-05-27,125.80599265251688,124.98545843839737,93312,stop_sma20_break,-88266.61453001693,-0.6522218829319693,13,TJX:2025-05-06,0.1
FCX,2025-05-20,2025-05-27,38.03614221195574,38.651410081863276,302333,po_break,174423.19203893084,1.617587468463455,3,FCX:2025-05-20,0.1
GOOG,2025-05-22,2025-05-27,172.92554020527794,170.53913056817055,64836,replaced,-154725.2552314948,-1.3800215018987427,1,GOOG:2025-05-22,0.1
