code,entry_date,exit_date,entry_price,exit_price,shares,exit_reason,pnl,pnl_pct,holding_days,trade_group,assumed_slippage_pct
6861.T,2023-03-24,2023-04-07,60895.06274885014,58197.50489168749,206,po_break,-567963.453042482,-4.429846584259556,9,6861.T:2023-03-24,0.1
4063.T,2023-03-27,2023-04-07,3907.964869762391,3670.2321554443915,3209,po_break,-775043.497373405,-6.083286883089456,8,4063.T:2023-03-27,0.1
7011.T,2023-04-19,2023-04-21,490.4399220909383,490.42541741662245,24992,po_break,-12619.394102988068,-0.002957482387244692,1,7011.T:2023-04-19,0.1
7011.T,2023-04-20,2023-04-24,491.31049642925655,494.76974002174524,24948,po_break,74000.84427591803,0.7040850170370483,1,7011.T:2023-04-20,0.1
6861.T,2023-04-26,2023-05-01,61454.45133183913,61174.95930100254,198,po_break,-67479.73375829632,-0.4547954212908101,2,6861.T:2023-04-26,0.1
6861.T,2023-04-28,2023-05-02,59903.85946655584,62105.41444921875,204,po_break,436672.270523824,3.675147147892921,1,6861.T:2023-04-28,0.1
7011.T,2023-04-25,2023-05-22,500.79046288855267,534.834021255487,24497,max_holding_days,821280.2028207511,6.797964595925321,15,7011.T:2023-04-25,0.1
6861.T,2023-05-09,2023-05-31,62632.11618933666,67658.75637112833,196,max_holding_days,972452.9701202419,8.025659178744892,15,6861.T:2023-05-09,0.1
6861.T,2023-05-31,2023-06-02,67794.20933683628,68001.5536642767,189,po_break,26355.378282632806,0.3058437135983416,1,6861.T:2023-05-31,0.1
8035.T,2023-05-15,2023-06-06,15454.169391402625,18100.68753437739,804,max_holding_days,2114311.534467547,17.124945870252084,15,8035.T:2023-05-15,0.1
6861.T,2023-06-07,2023-06-09,69658.85045535842,65033.90087222263,185,stop_sma20_break,-868074.7523779229,-6.639428518993062,1,6861.T:2023-06-07,0.1
4063.T,2023-05-25,2023-06-16,4056.9455148642774,4556.475261236352,3149,max_holding_days,1559457.3403136919,12.31295181416272,15,4063.T:2023-05-25,0.1
6861.T,2023-06-16,2023-06-23,69776.60629764094,67795.8848944611,184,po_break,-377109.40737476584,-2.838661133404563,4,6861.T:2023-06-16,0.1
6861.T,2023-06-22,2023-06-26,67421.27608546418,66013.33194566479,190,po_break,-280185.67432484217,-2.088278688191336,1,6861.T:2023-06-22,0.1
8035.T,2023-06-22,2023-06-27,18949.305299268122,18482.496091798854,678,po_break,-329186.0233357358,-2.4634634362416308,2,8035.T:2023-06-22,0.1
4063.T,2023-07-03,2023-07-07,4565.59746787849,4343.626320252169,2800,stop_sma20_break,-633992.1266570818,-4.86182036826529,3,4063.T:2023-07-03,0.1
8035.T,2023-07-03,2023-07-11,20026.1847437266,19048.142024197776,640,stop_sma20_break,-638451.1250641837,-4.883819519517852,5,8035.T:2023-07-03,0.1
6857.T,2023-07-12,2023-07-14,5026.469751942759,5163.968519887345,2512,po_break,332597.71460738085,2.7354937904767507,1,6857.T:2023-07-12,0.1
7011.T,2023-08-01,2023-08-18,655.370882616272,719.3227596773253,19338,trail_sma10,1223409.4857793124,9.758119983261127,11,7011.T:2023-08-01,0.1
7011.T,2023-08-21,2023-08-23,737.4010766828852,753.0153969698357,17397,po_break,258677.94233600944,2.1174799957154544,1,7011.T:2023-08-21,0.1
8035.T,2023-08-30,2023-09-12,20474.884807107137,19453.523464177324,628,stop_sma20_break,-653952.443557106,-4.988361851859036,8,8035.T:2023-08-30,0.1
4063.T,2023-12-01,2023-12-05,4962.7134163045175,4865.171530317985,2575,po_break,-263823.75828409684,-1.965495038783982,1,4063.T:2023-12-01,0.1
6861.T,2023-12-27,2023-12-29,61493.55099993906,60869.90753016214,207,po_break,-141758.81620168829,-1.0141607691147025,1,6861.T:2023-12-27,0.1
6857.T,2023-12-27,2023-12-29,4806.009571886823,4692.717922373358,2654,po_break,-313280.8491936194,-2.357291383191884,1,6857.T:2023-12-27,0.1
8035.T,2023-12-27,2024-01-05,24412.50155211268,22792.025023320894,523,stop_sma20_break,-859853.2082575805,-6.637896265290966,3,8035.T:2023-12-27,0.1
6861.T,2023-12-28,2024-01-05,61611.62327718969,59485.38354680744,205,po_break,-448291.5879278211,-3.4510366993843578,2,6861.T:2023-12-28,0.1
6857.T,2024-01-12,2024-01-23,5201.810381850999,5925.148319895674,1205,rsi_half,864918.222726031,13.905503756315007,6,6857.T:2024-01-12,0.1
6861.T,2024-01-17,2024-01-25,65586.56126621495,63923.715066847515,190,po_break,-328244.2541314537,-2.5353459112118504,5,6861.T:2024-01-17,0.1
6861.T,2024-01-24,2024-01-26,65399.63068481939,65102.03186541397,196,po_break,-71118.53153338569,-0.45504663602711215,1,6861.T:2024-01-24,0.1
4063.T,2024-01-24,2024-01-30,5601.186469631606,5464.269804846094,2292,stop_sma20_break,-326494.0085789445,-2.4444225438278733,3,4063.T:2024-01-24,0.1
8035.T,2024-01-18,2024-02-01,24940.621992230776,26096.869864527744,502,trail_sma10,567626.0214370317,4.636002553012308,9,8035.T:2024-01-18,0.1
